"","Astrakhan","Bangkok","Fujian","Guangdong","Guangxi","Hebei","Henan","Hong Kong","Hunan","Indonesia","Japan","Kamphaeng Phet","Mongolia","Nakon Sawan","Novosibirsk","Phitsanulok","Qinghai","Shanghai","Uthai Than","Vietnam"
"Astrakhan",0,6061.35759659301,6419.68669182599,6323.19162713145,5916.80942250575,5440.18734560204,5547.52603705938,6421.80351423033,5873.88320071735,8246.90795733485,7224.53447660363,5768.71302536055,4181.31387722295,5876.32598318331,2612.50581120328,5796.34693243726,4161.63629485476,6358.98177502975,5894.14167086293,6613.73938678117
"Bangkok",6061.35759659301,0,2298.36103798535,1757.03174655401,1407.82421670717,3030.40667594971,2619.109552938,1727.26936462697,1935.72427374657,2186.03783139072,4506.04989114126,319.508444029225,3683.84086882142,218.14153562408,4823.94898470315,340.069700080593,2470.08813952265,2887.77356702492,187.237543208005,840.972221421476
"Fujian",6419.68669182599,2298.36103798535,0,543.029599325381,968.76056264625,1296.92606255757,969.015338116841,595.426946064787,615.064533564227,3048.15151481989,2207.69771009703,2201.21538502968,2578.87327806189,2197.9638194213,4249.47411418458,2114.40380144503,2287.92069580188,629.711405550472,2226.64826304032,1703.59476527839
"Guangdong",6323.19162713145,1757.03174655401,543.029599325381,0,507.398539489747,1613.07380398102,1209.93112733145,114.467724648095,507.923857268352,2673.84257252388,2749.54090782127,1673.47627387332,2752.46417802368,1663.75645058663,4336.40452366598,1586.02521713062,2163.47158726306,1156.54218938016,1691.33812982141,1182.45647928557
"Guangxi",5916.80942250575,1407.82421670717,968.76056264625,507.398539489747,0,1674.83402251785,1252.58706712334,562.834770831817,529.495855879079,2767.91399322314,3143.56206371388,1258.42376883574,2605.16444171321,1271.83070320808,4076.82539374887,1174.24280705205,1789.5525498746,1501.12112225053,1303.79341683935,1071.45925898135
"Hebei",5440.18734560204,3030.40667594971,1296.92606255757,1613.07380398102,1674.83402251785,0,422.846545250346,1719.90272162497,1174.03592655027,4284.38224394623,2079.94644322471,2810.98959357619,1346.96493702958,2857.03078712893,3061.65596526421,2739.76534789409,1664.6220374774,953.445967186738,2892.24496355891,2721.18289325321
"Henan",5547.52603705938,2619.109552938,969.015338116841,1209.93112733145,1252.58706712334,422.846545250346,0,1320.09293964087,753.162872592289,3883.55916904344,2267.24420077275,2410.21496019947,1609.93805665507,2451.31284063173,3288.42983015891,2336.40962321386,1555.66048633851,830.327997278061,2486.18806153831,2299.34937809278
"Hong Kong",6421.80351423033,1727.26936462697,595.426946064787,114.467724648095,562.834770831817,1719.90272162497,1320.09293964087,0,622.205436796466,2565.05298815209,2788.00763584901,1664.53533354088,2866.87959372636,1647.36760878935,4449.24176907462,1576.85490906722,2264.59932898775,1221.50895896644,1673.31703860767,1109.66457489361
"Hunan",5873.88320071735,1935.72427374657,615.064533564227,507.923857268352,529.495855879079,1174.03592655027,753.162872592289,622.205436796466,0,3151.94100106544,2661.06362303369,1770.54837259092,2247.25303337902,1792.30054024266,3831.75213847763,1688.91560456928,1716.06761912057,1014.60794912463,1825.21420600165,1547.33216485203
"Indonesia",8246.90795733485,2186.03783139072,3048.15151481989,2673.84257252388,2767.91399322314,4284.38224394623,3883.55916904344,2565.05298815209,3151.94100106544,0,4808.24014692869,2480.03890527208,5370.16202663536,2371.97466583558,6800.63967398014,2457.83100372872,4434.15492624646,3632.59376892554,2353.23185834563,1756.03724266809
"Japan",7224.53447660363,4506.04989114126,2207.69771009703,2749.54090782127,3143.56206371388,2079.94644322471,2267.24420077275,2788.00763584901,2661.06362303369,4808.24014692869,0,4398.54540152519,3074.89596055035,4401.6014010502,4641.25221379752,4312.81825123823,3744.52013060166,1647.52521843038,4431.16280097742,3863.62837870531
"Kamphaeng Phet",5768.71302536055,319.508444029225,2201.21538502968,1673.47627387332,1258.42376883574,2810.98959357619,2410.21496019947,1664.53533354088,1770.54837259092,2480.03890527208,4398.54540152519,0,3392.48794602604,108.430778590829,4505.46400819672,87.6805031597507,2156.41244402946,2759.32165353616,132.984555346028,977.735071527074
"Mongolia",4181.31387722295,3683.84086882142,2578.87327806189,2752.46417802368,2605.16444171321,1346.96493702958,1609.93805665507,2866.87959372636,2247.25303337902,5370.16202663536,3074.89596055035,3392.48794602604,0,3473.4768729337,1716.73922180135,3347.78482180185,1381.44815330767,2299.95702490507,3508.50709852559,3660.56323473623
"Nakon Sawan",5876.32598318331,218.14153562408,2197.9638194213,1663.75645058663,1271.83070320808,2857.03078712893,2451.31284063173,1647.36760878935,1792.30054024266,2371.97466583558,4401.6014010502,108.430778590829,3473.4768729337,0,4606.33244350343,125.775097084408,2252.07821777819,2768.64538876811,35.8256878597556,895.903553323055
"Novosibirsk",2612.50581120328,4823.94898470315,4249.47411418458,4336.40452366598,4076.82539374887,3061.65596526421,3288.42983015891,4449.24176907462,3831.75213847763,6800.63967398014,4641.25221379752,4505.46400819672,1716.73922180135,4606.33244350343,0,4489.80501535446,2377.25997921843,4015.10061065321,4636.75655200754,5044.80165092347
"Phitsanulok",5796.34693243726,340.069700080593,2114.40380144503,1586.02521713062,1174.24280705205,2739.76534789409,2336.40962321386,1576.85490906722,1688.91560456928,2457.83100372872,4312.81825123823,87.6805031597507,3347.78482180185,125.775097084408,4489.80501535446,0,2131.27648256637,2674.66772429772,161.167746216603,912.425992228702
"Qinghai",4161.63629485476,2470.08813952265,2287.92069580188,2163.47158726306,1789.5525498746,1664.6220374774,1555.66048633851,2264.59932898775,1716.06761912057,4434.15492624646,3744.52013060166,2156.41244402946,1381.44815330767,2252.07821777819,2377.25997921843,2131.27648256637,0,2375.75867873713,2284.37385204683,2679.61431335146
"Shanghai",6358.98177502975,2887.77356702492,629.711405550472,1156.54218938016,1501.12112225053,953.445967186738,830.327997278061,1221.50895896644,1014.60794912463,3632.59376892554,1647.52521843038,2759.32165353616,2299.95702490507,2768.64538876811,4015.10061065321,2674.66772429772,2375.75867873713,0,2799.49646150765,2331.15355625098
"Uthai Than",5894.14167086293,187.237543208005,2226.64826304032,1691.33812982141,1303.79341683935,2892.24496355891,2486.18806153831,1673.31703860767,1825.21420600165,2353.23185834563,4431.16280097742,132.984555346028,3508.50709852559,35.8256878597556,4636.75655200754,161.167746216603,2284.37385204683,2799.49646150765,0,900.658664137007
"Vietnam",6613.73938678117,840.972221421476,1703.59476527839,1182.45647928557,1071.45925898135,2721.18289325321,2299.34937809278,1109.66457489361,1547.33216485203,1756.03724266809,3863.62837870531,977.735071527074,3660.56323473623,895.903553323055,5044.80165092347,912.425992228702,2679.61431335146,2331.15355625098,900.658664137007,0
